temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
1.0,google/gemma-3-12b-it,top_k,1.0,0.14,0.0,14,0,100,17,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,2.0,0.27,0.0,27,0,100,32,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,3.0,0.28,0.0,28,0,100,35,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,4.0,0.31,0.0,31,0,100,43,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,5.0,0.35,0.0,35,0,100,48,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,6.0,0.39,0.0,39,0,100,55,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,7.0,0.4,0.0,40,0,100,58,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,8.0,0.41,0.0,41,0,100,62,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,9.0,0.44,0.0,44,0,100,68,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,10.0,0.48,0.0,48,0,100,73,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,11.0,0.48,0.0,48,0,100,74,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,12.0,0.5,0.0,50,0,100,79,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,13.0,0.5,0.0,50,0,100,80,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,14.0,0.51,0.0,51,0,100,83,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,15.0,0.52,0.0,52,0,100,84,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,16.0,0.52,0.0,52,0,100,85,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,17.0,0.53,0.0,53,0,100,86,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,18.0,0.53,0.0,53,0,100,88,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,19.0,0.54,0.0,54,0,100,89,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,20.0,0.54,0.0,54,0,100,91,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.5,0.24,0.0,24,0,100,28,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.55,0.24,0.0,24,0,100,29,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.6,0.3,0.0,30,0,100,38,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.65,0.33,0.0,33,0,100,43,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.7,0.39,0.0,39,0,100,50,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.75,0.44,0.0,44,0,100,60,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.8,0.52,0.0,52,0,100,75,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.85,0.57,0.0,57,0,100,96,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.9,0.67,0.0,67,0,100,122,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.95,0.81,0.0,81,0,100,165,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.99,0.98,0.06,98,6,100,264,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.01,0.55,0.0,55,0,100,94,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.02,0.47,0.0,47,0,100,73,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.03,0.46,0.0,46,0,100,68,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.04,0.45,0.0,45,0,100,63,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.05,0.42,0.0,42,0,100,55,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.06,0.4,0.0,40,0,100,52,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.07,0.37,0.0,37,0,100,48,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.08,0.37,0.0,37,0,100,48,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.09,0.37,0.0,37,0,100,47,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.1,0.34,0.0,34,0,100,43,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-pt,top_k,1.0,0.13,0.0,13,0,100,13,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,2.0,0.18,0.0,18,0,100,18,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,3.0,0.22,0.0,22,0,100,23,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,4.0,0.23,0.0,23,0,100,28,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,5.0,0.25,0.0,25,0,100,31,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,6.0,0.28,0.0,28,0,100,37,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,7.0,0.28,0.0,28,0,100,37,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,8.0,0.28,0.0,28,0,100,40,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,9.0,0.29,0.0,29,0,100,42,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,10.0,0.31,0.0,31,0,100,45,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,11.0,0.33,0.0,33,0,100,48,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,12.0,0.34,0.0,34,0,100,50,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,13.0,0.35,0.0,35,0,100,52,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,14.0,0.37,0.0,37,0,100,54,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,15.0,0.38,0.0,38,0,100,56,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,16.0,0.38,0.0,38,0,100,60,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,17.0,0.39,0.0,39,0,100,61,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,18.0,0.41,0.0,41,0,100,66,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,19.0,0.41,0.0,41,0,100,67,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,20.0,0.41,0.0,41,0,100,67,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.5,0.13,0.0,13,0,100,14,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.55,0.17,0.0,17,0,100,19,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.6,0.21,0.0,21,0,100,24,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.65,0.23,0.0,23,0,100,28,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.7,0.26,0.0,26,0,100,33,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.75,0.31,0.0,31,0,100,40,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.8,0.41,0.0,41,0,100,56,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.85,0.54,0.0,54,0,100,79,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.9,0.68,0.0,68,0,100,122,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.95,0.85,0.01,85,1,100,178,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_p,0.99,0.97,0.15,97,15,100,317,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,min_p,0.01,0.4,0.0,40,0,100,65,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,min_p,0.02,0.33,0.0,33,0,100,48,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,min_p,0.03,0.31,0.0,31,0,100,42,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,min_p,0.04,0.3,0.0,30,0,100,38,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,min_p,0.05,0.3,0.0,30,0,100,37,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,min_p,0.06,0.29,0.0,29,0,100,35,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,min_p,0.07,0.28,0.0,28,0,100,34,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,min_p,0.08,0.27,0.0,27,0,100,33,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,min_p,0.09,0.27,0.0,27,0,100,33,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,min_p,0.1,0.26,0.0,26,0,100,31,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,1.0,0.99,0.08,99,8,100,302,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,2.0,1.0,0.21,100,21,100,364,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,3.0,1.0,0.36,100,36,100,398,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,4.0,1.0,0.41,100,41,100,410,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,5.0,1.0,0.45,100,45,100,420,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,6.0,1.0,0.49,100,49,100,425,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,7.0,1.0,0.51,100,51,100,432,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,8.0,1.0,0.56,100,56,100,441,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,9.0,1.0,0.57,100,57,100,446,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,10.0,1.0,0.58,100,58,100,447,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,11.0,1.0,0.58,100,58,100,448,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,12.0,1.0,0.6,100,60,100,451,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,13.0,1.0,0.6,100,60,100,451,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,14.0,1.0,0.63,100,63,100,455,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,15.0,1.0,0.64,100,64,100,456,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
1.0,meta-llama/Llama-3.1-8B,top_k,16.0,1.0,0.65,100,65,100,457,500,/home/jovyan/WCS/WCS/results/mobydick_100x5_multi_t/t1/audit.llama31-8b-base.jsonl
